worktime,age,unit,sex,geo,time,values
TEMP,Y20-64,PC_EMP,T,AT,2017-01-01,6
TEMP,Y20-64,PC_EMP,T,BE,2017-01-01,8.4
TEMP,Y20-64,PC_EMP,T,BG,2017-01-01,3.8
TEMP,Y20-64,PC_EMP,T,CH,2017-01-01,7.9
TEMP,Y20-64,PC_EMP,T,CY,2017-01-01,13.5
TEMP,Y20-64,PC_EMP,T,CZ,2017-01-01,7.8
TEMP,Y20-64,PC_EMP,T,DE,2017-01-01,10
TEMP,Y20-64,PC_EMP,T,DK,2017-01-01,9.8
TEMP,Y20-64,PC_EMP,T,EA17,2017-01-01,12.9
TEMP,Y20-64,PC_EMP,T,EA18,2017-01-01,12.8
TEMP,Y20-64,PC_EMP,T,EA19,2017-01-01,12.7
TEMP,Y20-64,PC_EMP,T,EE,2017-01-01,2.5
TEMP,Y20-64,PC_EMP,T,EL,2017-01-01,7.6
TEMP,Y20-64,PC_EMP,T,ES,2017-01-01,22.1
TEMP,Y20-64,PC_EMP,T,EU15,2017-01-01,11.4
TEMP,Y20-64,PC_EMP,T,EU27,2017-01-01,11.3
TEMP,Y20-64,PC_EMP,T,EU28,2017-01-01,11.3
TEMP,Y20-64,PC_EMP,T,FI,2017-01-01,12.8
TEMP,Y20-64,PC_EMP,T,FR,2017-01-01,13.9
TEMP,Y20-64,PC_EMP,T,FX,2017-01-01,13.8
TEMP,Y20-64,PC_EMP,T,HR,2017-01-01,17.5
TEMP,Y20-64,PC_EMP,T,HU,2017-01-01,7.7
TEMP,Y20-64,PC_EMP,T,IE,2017-01-01,6.7
TEMP,Y20-64,PC_EMP,T,IS,2017-01-01,8.5
TEMP,Y20-64,PC_EMP,T,IT,2017-01-01,11.8
TEMP,Y20-64,PC_EMP,T,LT,2017-01-01,1.4
TEMP,Y20-64,PC_EMP,T,LU,2017-01-01,7.6
TEMP,Y20-64,PC_EMP,T,LV,2017-01-01,2.5
TEMP,Y20-64,PC_EMP,T,ME,2017-01-01,23.3
TEMP,Y20-64,PC_EMP,T,MK,2017-01-01,10.6
TEMP,Y20-64,PC_EMP,T,MT,2017-01-01,4.9
TEMP,Y20-64,PC_EMP,T,NL,2017-01-01,15
TEMP,Y20-64,PC_EMP,T,NO,2017-01-01,7
TEMP,Y20-64,PC_EMP,T,PL,2017-01-01,20.6
TEMP,Y20-64,PC_EMP,T,PT,2017-01-01,18.5
TEMP,Y20-64,PC_EMP,T,RO,2017-01-01,0.9
TEMP,Y20-64,PC_EMP,T,RS,2017-01-01,16.3
TEMP,Y20-64,PC_EMP,T,SE,2017-01-01,13.1
TEMP,Y20-64,PC_EMP,T,SI,2017-01-01,14.6
TEMP,Y20-64,PC_EMP,T,SK,2017-01-01,7.8
TEMP,Y20-64,PC_EMP,T,TR,2017-01-01,8
TEMP,Y20-64,PC_EMP,T,UK,2017-01-01,4.3
