munip_label,munip_nis,n_inhabitants,income_mean
Aartselaar,11001,14222,22750
Antwerpen,11002,520504,15718
Boechout,11004,12908,22416
Boom,11005,17788,16896
Borsbeek,11007,10581,18704
Brasschaat,11008,37792,22413
Brecht,11009,28786,20342
Edegem,11013,21835,22706
Essen,11016,18792,17943
Hemiksem,11018,11233,18547
Hove (Antwerpen),11021,8152,25537
Kalmthout,11022,18490,20162
Kapellen (Antwerpen),11023,26750,22582
Kontich,11024,20952,22489
Lint,11025,8781,22105
Mortsel,11029,25588,20466
Niel,11030,10236,17894
Ranst,11035,18981,21218
Rumst,11037,15083,20972
Schelle,11038,8357,20453
Schilde,11039,19516,25247
Schoten,11040,34273,21033
Stabroek,11044,18498,20396
Wijnegem,11050,9659,20496
Wommelgem,11052,12785,19880
Wuustwezel,11053,20459,18604
Zandhoven,11054,12843,20428
Zoersel,11055,21857,21252
Zwijndrecht,11056,18985,19834
Malle,11057,15257,19377
Berlaar,12002,11385,19329
Bonheiden,12005,14826,24441
Bornem,12007,21129,21074
Duffel,12009,17302,20227
Heist-op-den-Berg,12014,42416,19245
Lier,12021,35244,19480
Mechelen,12025,85665,18686
Nijlen,12026,22693,19299
Putte,12029,17379,19942
Puurs,12030,17184,21326
Sint-Amands,12034,8418,19929
Sint-Katelijne-Waver,12035,20681,20732
Willebroek,12040,26088,18043
Arendonk,13001,13261,17249
Baarle-Hertog,13002,2695,15668
Balen,13003,22356,18396
Beerse,13004,17907,19793
Dessel,13006,9527,18282
Geel,13008,39560,19419
Grobbendonk,13010,11237,20037
Herentals,13011,27800,19466
Herenthout,13012,8845,18717
Herselt,13013,14408,18991
Hoogstraten,13014,21300,17789
Hulshout,13016,10328,19028
Kasterlee,13017,18501,20219
Lille,13019,16406,19179
Meerhout,13021,10256,18695
Merksplas,13023,8626,18382
Mol,13025,36151,18839
Olen,13029,12381,19185
Oud-Turnhout,13031,13447,20360
Ravels,13035,14810,17276
Retie,13036,11184,18439
Rijkevorsel,13037,11879,17691
Turnhout,13040,43467,17338
Vorselaar,13044,7778,19272
Vosselaar,13046,11005,21513
Westerlo,13049,24688,19438
Laakdal,13053,15874,18877
Anderlecht,21001,118241,11380
Oudergem,21002,33313,18450
Sint-Agatha-Berchem,21003,24701,15249
Brussel,21004,176545,12475
Etterbeek,21005,47414,14470
Evere,21006,40394,13327
Vorst (Brussel-Hoofdstad),21007,55746,14501
Ganshoren,21008,24596,15045
Elsene,21009,86244,15983
Jette,21010,51933,14689
Koekelberg,21011,21609,12454
Sint-Jans-Molenbeek,21012,96629,10170
Sint-Gillis,21013,50471,12581
Sint-Joost-ten-Node,21014,27115,8835
Schaarbeek,21015,133042,11665
Ukkel,21016,82307,20115
Watermaal-Bosvoorde,21017,24871,19461
Sint-Lambrechts-Woluwe,21018,55216,16908
Sint-Pieters-Woluwe,21019,41217,19997
Asse,23002,32706,19575
Beersel,23003,24992,21045
Bever,23009,2160,20408
Dilbeek,23016,42024,21361
Galmaarden,23023,8702,20610
Gooik,23024,9238,21410
Grimbergen,23025,37030,21194
Halle (Halle-Vilvoorde),23027,38680,19069
Herne,23032,6592,21077
Hoeilaart,23033,11104,21937
Kampenhout,23038,11768,22831
Kapelle-op-den-Bos,23039,9382,21376
Liedekerke,23044,13103,18940
Londerzeel,23045,18385,21294
Machelen (Halle-Vilvoorde),23047,15135,16308
Meise,23050,18925,23532
Merchtem,23052,16100,21737
Opwijk,23060,14356,20919
Overijse,23062,25024,23287
Pepingen,23064,4409,22358
Sint-Pieters-Leeuw,23077,33758,18013
Steenokkerzeel,23081,11944,21724
Ternat,23086,15428,21766
Vilvoorde,23088,43653,17107
Zaventem,23094,33385,18434
Zemst,23096,23240,23333
Roosdaal,23097,11621,20767
Drogenbos,23098,5457,16420
Kraainem,23099,13657,22293
Linkebeek,23100,4722,22254
Sint-Genesius-Rode,23101,18231,23852
Wemmel,23102,16130,20854
Wezembeek-Oppem,23103,14044,22046
Lennik,23104,9033,22873
Affligem,23105,13129,20697
Aarschot,24001,29654,20280
Begijnendijk,24007,10004,21110
Bekkevoort,24008,6134,19625
Bertem,24009,9907,22932
Bierbeek,24011,10017,24410
Boortmeerbeek,24014,12192,23293
Boutersem,24016,8178,22246
Diest,24020,23612,20099
Geetbets,24028,6037,18561
Haacht,24033,14442,21860
Herent,24038,21372,24289
Hoegaarden,24041,6907,21590
Holsbeek,24043,9920,22396
Huldenberg,24045,9762,22137
Keerbergen,24048,12707,26526
Kortenaken,24054,7915,19376
Kortenberg,24055,19979,22319
Landen,24059,15919,19840
Leuven,24062,100291,20241
Lubbeek,24066,14270,24207
Oud-Heverlee,24086,11095,25741
Rotselaar,24094,16624,22509
Tervuren,24104,21911,22680
Tienen,24107,34365,19324
Tremelo,24109,14756,21388
Zoutleeuw,24130,8446,19328
Linter,24133,7256,19714
Scherpenheuvel-Zichem,24134,22924,19456
Tielt-Winge,24135,10680,20872
Glabbeek,24137,5326,20583
Bevekom,25005,7145,21227
Eigenbrakel,25014,39759,20814
Kasteelbrakel,25015,10345,20675
Chaumont-Gistoux,25018,11737,23271
Court-Saint-Etienne,25023,10392,20258
Genepiën,25031,15334,20522
Graven,25037,13239,21684
Incourt,25043,5379,19994
Itter,25044,6816,20296
Geldenaken,25048,14005,19360
Terhulpen,25050,7324,22105
Mont-Saint-Guibert,25068,7446,20742
Nijvel,25072,28368,20234
Perwijs (Nijvel),25084,9273,19492
Rixensart,25091,22227,22356
Tubeke,25105,25646,16138
Villers-la-Ville,25107,10579,20246
Waterloo,25110,29959,22006
Waver,25112,34169,20434
Chastre,25117,7578,20334
Hélécine,25118,3401,18895
Lasne,25119,14212,25964
Orp-Jauche,25120,8862,19073
Ottignies-Louvain-la-Neuve,25121,31543,18878
Ramillies,25122,6325,19342
Rebecq,25123,10958,18054
Walhain,25124,7102,21800
Beernem,31003,15604,19040
Blankenberge,31004,20265,18068
Brugge,31005,118187,19912
Damme,31006,10945,19975
Jabbeke,31012,13944,20893
Oostkamp,31022,23289,19804
Torhout,31033,20503,18449
Zedelgem,31040,22554,19359
Zuienkerke,31042,2768,20144
Knokke-Heist,31043,33197,24540
Diksmuide,32003,16719,16957
Houthulst,32006,10028,16779
Koekelare,32010,8733,17202
Kortemark,32011,12482,16884
Lo-Reninge,32030,3288,16417
Ieper,33011,35014,17875
Mesen,33016,1049,13574
Poperinge,33021,19735,16799
Wervik,33029,18689,16437
Zonnebeke,33037,12355,17534
Heuvelland,33039,7784,15898
Langemark-Poelkapelle,33040,7948,16665
Vleteren,33041,3656,15929
Anzegem,34002,14545,19190
Avelgem,34003,10045,17593
Deerlijk,34009,11715,19042
Harelbeke,34013,27683,18302
Kortrijk,34022,75736,18632
Kuurne,34023,13219,17968
Lendelede,34025,5768,18815
Menen,34027,33112,16542
Waregem,34040,37871,19055
Wevelgem,34041,31457,18259
Zwevegem,34042,24530,19030
Spiere-Helkijn,34043,2142,16915
Bredene,35002,17585,18696
Gistel,35005,12021,18227
Ichtegem,35006,13950,17191
Middelkerke,35011,19186,18371
Oostende,35013,70994,17869
Oudenburg,35014,9325,18572
De Haan,35029,12656,20537
Hooglede,36006,10007,18626
Ingelmunster,36007,10792,18080
Izegem,36008,27590,18300
Ledegem,36010,9607,17393
Lichtervelde,36011,8760,17965
Moorslede,36012,11015,17425
Roeselare,36015,61657,18203
Staden,36019,11314,16975
Dentergem,37002,8378,17992
Meulebeke,37007,11041,17503
Oostrozebeke,37010,7777,17442
Pittem,37011,6702,17645
Ruiselede,37012,5395,17990
Tielt (Tielt),37015,20301,18210
Wielsbeke,37017,9573,17562
Wingene,37018,14158,17968
Ardooie,37020,9030,18362
Alveringem,38002,5072,15617
De Panne,38008,10915,18033
Koksijde,38014,22094,24094
Nieuwpoort,38016,11351,19100
Veurne,38025,11727,17785
Aalst (Aalst),41002,84859,19182
Denderleeuw,41011,19836,18738
Geraardsbergen,41018,33204,18731
Haaltert,41024,18262,20587
Herzele,41027,17605,20453
Lede,41034,18449,20081
Ninove,41048,38446,18899
Sint-Lievens-Houtem,41063,10213,20254
Zottegem,41081,26137,21124
Erpe-Mere,41082,19730,21091
Berlare,42003,14785,19513
Buggenhout,42004,14533,20550
Dendermonde,42006,45583,19312
Hamme (Dendermonde),42008,24767,17989
Laarne,42010,12520,21584
Lebbeke,42011,19066,19406
Waasmunster,42023,10749,21983
Wetteren,42025,25078,19208
Wichelen,42026,11556,20032
Zele,42028,20916,17429
Assenede,43002,14135,19393
Eeklo,43005,20708,17957
Kaprijke,43007,6381,19464
Maldegem,43010,23550,18407
Sint-Laureins,43014,6636,18757
Zelzate,43018,12703,17629
Aalter,44001,20296,20982
Deinze,44011,30906,19900
De Pinte,44012,10498,25102
Destelbergen,44013,17982,22290
Evergem,44019,34999,19866
Gavere,44020,12771,21084
Gent,44021,259083,18235
Knesselare,44029,8267,18624
Lochristi,44034,22220,21167
Lovendegem,44036,9490,21256
Melle,44040,11321,21219
Merelbeke,44043,24543,22205
Moerbeke (Gent),44045,6359,20013
Nazareth,44048,11488,21074
Nevele,44049,12110,20414
Oosterzele,44052,13504,21431
Sint-Martens-Latem,44064,8501,28348
Waarschoot,44072,7896,18703
Wachtebeke,44073,7593,19294
Zomergem,44080,8426,19611
Zulte,44081,15708,19051
Kruishoutem,45017,8058,20555
Oudenaarde,45035,30972,19756
Ronse,45041,26092,15156
Zingem,45057,7522,19623
Brakel,45059,14797,19430
Kluisbergen,45060,6447,19042
Wortegem-Petegem,45061,6399,20710
Horebeke,45062,2028,21183
Lierde,45063,6563,20001
Maarkedal,45064,6353,20719
Zwalm,45065,8099,20929
Beveren (Sint-Niklaas),46003,47946,20272
Kruibeke,46013,16589,19695
Lokeren,46014,41057,18308
Sint-Gillis-Waas,46020,19252,19540
Sint-Niklaas (Sint-Niklaas),46021,76028,17706
Stekene,46024,18102,18866
Temse,46025,29515,18950
Aat,51004,29074,17979
Beloeil,51008,14024,16301
Bernissart,51009,11922,15891
Brugelette,51012,3629,16340
Chièvres,51014,6913,17177
Elzele,51017,5979,18079
Vloesberg,51019,3426,18817
Frasnes-lez-Anvaing,51065,11752,17423
Chapelle-lez-Herlaimont,52010,14923,15028
Charleroi,52011,201256,13020
Châtelet,52012,36350,13321
Courcelles,52015,31347,14803
Farciennes,52018,11281,11294
Fleurus,52021,22624,15581
Fontaine-l’Evêque,52022,17673,15039
Gerpinnes,52025,12660,20437
Manage,52043,23131,14369
Montigny-le-Tilleul,52048,10161,20268
Pont-à-Celles,52055,17290,18738
Seneffe,52063,11167,19071
Aiseau-Presles,52074,10864,15297
Les Bons Villers,52075,9401,20145
Boussu,53014,19773,13801
Dour,53020,16705,14657
Frameries,53028,21765,15085
Hensies,53039,6857,15043
Jurbeke,53044,10467,19540
Lens,53046,4466,17324
Bergen,53053,95220,15701
Quaregnon,53065,19041,13505
Quiévrain,53068,6752,14373
Saint-Ghislain,53070,23207,16843
Colfontaine,53082,20804,12878
Honnelles,53083,5183,18089
Quévy,53084,8191,18237
Moeskroen,54007,57773,15029
Komen-Waasten,54010,18102,14778
’s Gravenbrakel,55004,21532,18123
Edingen,55010,13563,18850
La Louvière,55022,80719,14226
Lessen,55023,18580,16444
Le Roeulx,55035,8552,18323
Opzullik,55039,8397,19629
Zinnik,55040,27447,17035
Ecaussinnes,55050,11010,17260
Anderlues,56001,12123,14760
Beaumont,56005,7095,16155
Binche,56011,33545,15727
Chimay,56016,9879,14814
Erquelinnes,56022,9932,14528
Froidchapelle,56029,3939,15394
Lobbes,56044,5777,18220
Merbes-le-Château,56049,4317,15982
Momignies,56051,5315,13704
